
--------------------------------- AERODYNAMIC DATABASE @SEA LEVEL ---------------------------------
DATA IN S.I. UNITS		BODY AXES REFERENCE

MASS                                              0.8856                   
WING SPAN                                         0.855                    
WING AREA                                         0.240683                 
CHORD                                             0.293699                 
MACH DRAG RISE                                    0.6                      
THRUST AXIS OFFSET (REF. TO XB ALONG X)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Y)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Z)           0                        
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Y PLANE / POSITIVE RIGHT)         
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Z PLANE / POSITIVE RIGHT)         
NUMBER OF ANGLES OF ATTACK                        106                      
ROTARY DERIVATIVES                                PRESENT                  
CENTER OF GRAVITY                                 0.111                    
(REFERENCE LOCATION REF. TO CMAER)                
JX                                                0.00814267               
JY                                                0.0113792                
JZ                                                0.019049                 
JXZ                                               1.01917e-05              
OPTION FOR C.G. UPDATE                            NO                       
CENTER OF GRAVITY REFERENCE LOCATION (UPDATED)    0.111                    
PILOT POSITION (REF. TO CG ALONG XB)              0                        
PILOT POSITION (REF. TO CG ALONG YB)              0                        
PILOT POSITION (REF. TO CG ALONG ZB)              0                        

		DEFLECTION LIMITS
ELEVATOR (max)                                    20                       
ELEVATOR (min)                                    -20                      
AILERONS (symmetrical)                            20                       
RUDDER   (symmetrical)                            20                       
FLAP (up)                                         0                        
FLAP (down)                                       30                       

		FUEL MASS
MASS SWITCH                                       VARIABLE                 
FUEL WEIGHT FRACTION (REF. TO TOW)                0.33                     

		STEADY STATE COEFFICIENTS
ALPHA (deg)         CX                  CY                  CZ                  CL                  CM                  CN                  
9.6                 0.047788            0                   -0.576509           0                   -0.064584           0                   
9.8                 0.05015             0                   -0.587243           0                   -0.065722           0                   
10                  0.052586            0                   -0.597943           0                   -0.066859           0                   
10.2                0.055021            0                   -0.608642           0                   -0.067996           0                   
10.4                0.057457            0                   -0.619341           0                   -0.069134           0                   
10.6                0.060048            0                   -0.629989           0                   -0.070271           0                   
10.8                0.062639            0                   -0.640636           0                   -0.071408           0                   
11                  0.06523             0                   -0.651284           0                   -0.072546           0                   
11.2                0.067898            0                   -0.661903           0                   -0.073685           0                   
11.4                0.070645            0                   -0.672493           0                   -0.074826           0                   
11.6                0.073391            0                   -0.683084           0                   -0.075968           0                   
11.8                0.076137            0                   -0.693674           0                   -0.077109           0                   
12                  0.079021            0                   -0.704165           0                   -0.078254           0                   
12.2                0.081904            0                   -0.714655           0                   -0.079399           0                   
12.4                0.084787            0                   -0.725146           0                   -0.080544           0                   
12.6                0.087716            0                   -0.735543           0                   -0.081685           0                   
12.8                0.090689            0                   -0.745845           0                   -0.082823           0                   
13                  0.093663            0                   -0.756148           0                   -0.08396            0                   
13.2                0.096636            0                   -0.766451           0                   -0.085098           0                   
13.4                0.099705            0                   -0.776582           0                   -0.086225           0                   
13.6                0.102775            0                   -0.786713           0                   -0.087353           0                   
13.8                0.105844            0                   -0.796845           0                   -0.08848            0                   
14                  0.108951            0                   -0.806846           0                   -0.089593           0                   
14.2                0.112097            0                   -0.816719           0                   -0.090693           0                   
14.4                0.115242            0                   -0.826592           0                   -0.091792           0                   
14.6                0.118387            0                   -0.836464           0                   -0.092891           0                   
14.8                0.121552            0                   -0.845926           0                   -0.093922           0                   
15                  0.124717            0                   -0.855387           0                   -0.094953           0                   
