
--------------------------------- AERODYNAMIC DATABASE @SEA LEVEL ---------------------------------
DATA IN S.I. UNITS		BODY AXES REFERENCE

MASS                                              0.8856                   
WING SPAN                                         0.855                    
WING AREA                                         0.240683                 
CHORD                                             0.293699                 
MACH DRAG RISE                                    0.6                      
THRUST AXIS OFFSET (REF. TO XB ALONG X)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Y)           0                        
THRUST AXIS OFFSET (REF. TO XB ALONG Z)           0                        
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Y PLANE / POSITIVE RIGHT)         
THRUST AXIS ANGULAR OFFSET                        0                        
(REF. TO XB / X-Z PLANE / POSITIVE RIGHT)         
NUMBER OF ANGLES OF ATTACK                        106                      
ROTARY DERIVATIVES                                PRESENT                  
CENTER OF GRAVITY                                 0.111                    
(REFERENCE LOCATION REF. TO CMAER)                
JX                                                0.00814267               
JY                                                0.0113792                
JZ                                                0.019049                 
JXZ                                               1.01917e-05              
OPTION FOR C.G. UPDATE                            NO                       
CENTER OF GRAVITY REFERENCE LOCATION (UPDATED)    0.111                    
PILOT POSITION (REF. TO CG ALONG XB)              0                        
PILOT POSITION (REF. TO CG ALONG YB)              0                        
PILOT POSITION (REF. TO CG ALONG ZB)              0                        

		DEFLECTION LIMITS
ELEVATOR (max)                                    20                       
ELEVATOR (min)                                    -20                      
AILERONS (symmetrical)                            20                       
RUDDER   (symmetrical)                            20                       
FLAP (up)                                         0                        
FLAP (down)                                       30                       

		FUEL MASS
MASS SWITCH                                       VARIABLE                 
FUEL WEIGHT FRACTION (REF. TO TOW)                0.33                     

		STEADY STATE COEFFICIENTS
ALPHA (deg)         CX                  CY                  CZ                  CL                  CM                  CN                  
10.8                -3.04093            0                   0                   -2.26552            0                   0                   0                   
11                  -3.03628            0                   0                   -2.26402            0                   0                   0                   
11.2                -3.02989            0                   0                   -2.26247            0                   0                   0                   
11.4                -3.02175            0                   0                   -2.26087            0                   0                   0                   
11.6                -3.01358            0                   0                   -2.25927            0                   0                   0                   
11.8                -3.00532            0                   0                   -2.25767            0                   0                   0                   
12                  -2.98979            0                   0                   -2.25598            0                   0                   0                   
12.2                -2.9743             0                   0                   -2.25429            0                   0                   0                   
12.4                -2.95902            0                   0                   -2.25259            0                   0                   0                   
12.6                -2.94476            0                   0                   -2.25085            0                   0                   0                   
12.8                -2.93131            0                   0                   -2.24906            0                   0                   0                   
13                  -2.91739            0                   0                   -2.24727            0                   0                   0                   
13.2                -2.90239            0                   0                   -2.24548            0                   0                   0                   
13.4                -2.87905            0                   0                   -2.24359            0                   0                   0                   
13.6                -2.85631            0                   0                   -2.2417             0                   0                   0                   
13.8                -2.83644            0                   0                   -2.23982            0                   0                   0                   
14                  -2.81526            0                   0                   -2.23788            0                   0                   0                   
14.2                -2.78964            0                   0                   -2.2359             0                   0                   0                   
14.4                -2.75755            0                   0                   -2.23392            0                   0                   0                   
14.6                -2.71045            0                   0                   -2.23194            0                   0                   0                   
14.8                -2.62408            0                   0                   -2.22986            0                   0                   0                   
15                  -2.52965            0                   0                   -2.22779            0                   0                   0                   
15.2                -2.44265            0                   0                   -2.22571            0                   0                   0                   
15.4                -2.39254            0                   0                   -2.22358            0                   0                   0                   
15.6                -2.3827             0                   0                   -2.22141            0                   0                   0                   
15.8                -2.39036            0                   0                   -2.21924            0                   0                   0                   
16                  -2.40676            0                   0                   -2.21707            0                   0                   0                   

		ROLLING MOMENT DERIVATIVES
ALPHA (deg)         CLB                 CLBP                CLP                 CLR                 CLA                 CLQ                 
-5                  0.011514            0                   -0.202672           0.00259             0                   0                   
-4.8                0.010656            0                   -0.203905           0.003076            0                   0                   
-4.6                0.009798            0                   -0.205137           0.003562            0                   0                   
-4.4                0.00894             0                   -0.20637            0.004049            0                   0                   
-4.2                0.007994            0                   -0.207304           0.004604            0                   0                   
-4                  0.006958            0                   -0.207941           0.005229            0                   0                   
-3.8                0.005923            0                   -0.208578           0.005854            0                   0                   
-3.6                0.004887            0                   -0.209215           0.00648             0                   0                   
-3.4                0.004019            0                   -0.208236           0.006806            0                   0                   
-3.2                0.00315             0                   -0.207257           0.007132            0                   0                   
-3                  0.002282            0                   -0.206279           0.007459            0                   0                   
-2.8                0.001394            0                   -0.205259           0.007829            0                   0                   
-2.6                0.000487            0                   -0.204199           0.008243            0                   0                   
-2.4                -0.000419           0                   -0.203139           0.008658            0                   0                   
-2.2                -0.001326           0                   -0.202079           0.009072            0                   0                   
-2                  -0.002151           0                   -0.201575           0.009417            0                   0                   
-1.8                -0.002977           0                   -0.201072           0.009762            0                   0                   
-1.6                -0.003802           0                   -0.200569           0.010108            0                   0                   
-1.4                -0.004604           0                   -0.200175           0.010428            0                   0                   
-1.2                -0.005382           0                   -0.19989            0.010723            0                   0                   
-1                  -0.006161           0                   -0.199606           0.011019            0                   0                   
-0.8                -0.006939           0                   -0.199322           0.011314            0                   0                   
-0.6                -0.007926           0                   -0.198839           0.011872            0                   0                   
-0.4                -0.008913           0                   -0.198357           0.012429            0                   0                   
-0.2                -0.0099             0                   -0.197875           0.012986            0                   0                   
0                   -0.01093            0                   -0.196726           0.013609            0                   0                   
0.2                 -0.012003           0                   -0.194911           0.014296            0                   0                   
0.4                 -0.013076           0                   -0.193095           0.014982            0                   0                   
0.6                 -0.014149           0                   -0.19128            0.015669            0                   0                   
0.8                 -0.014503           0                   -0.190903           0.015486            0                   0                   
1                   -0.014856           0                   -0.190525           0.015302            0                   0                   
1.2                 -0.015209           0                   -0.190148           0.015119            0                   0                   
1.4                 -0.01581            0                   -0.190541           0.015211            0                   0                   
1.6                 -0.016658           0                   -0.191704           0.015577            0                   0                   
1.8                 -0.017506           0                   -0.192867           0.015944            0                   0                   
2                   -0.018354           0                   -0.19403            0.01631             0                   0                   
2.2                 -0.019254           0                   -0.195667           0.016733            0                   0                   
2.4                 -0.020154           0                   -0.197304           0.017155            0                   0                   
2.6                 -0.021053           0                   -0.198942           0.017578            0                   0                   
2.8                 -0.021918           0                   -0.199975           0.01796             0                   0                   
3                   -0.022747           0                   -0.200406           0.018301            0                   0                   
3.2                 -0.023576           0                   -0.200836           0.018642            0                   0                   
3.4                 -0.024406           0                   -0.201267           0.018983            0                   0                   
3.6                 -0.025236           0                   -0.200965           0.019369            0                   0                   
3.8                 -0.026067           0                   -0.200663           0.019756            0                   0                   
4                   -0.026897           0                   -0.200361           0.020143            0                   0                   
4.2                 -0.027729           0                   -0.200144           0.020528            0                   0                   
4.4                 -0.028561           0                   -0.200013           0.020911            0                   0                   
4.6                 -0.029393           0                   -0.199882           0.021295            0                   0                   
4.8                 -0.030224           0                   -0.19975            0.021678            0                   0                   
5                   -0.031058           0                   -0.19958            0.022073            0                   0                   
5.2                 -0.031892           0                   -0.199409           0.022469            0                   0                   
5.4                 -0.032726           0                   -0.199238           0.022864            0                   0                   
5.6                 -0.033561           0                   -0.199165           0.023254            0                   0                   
5.8                 -0.034397           0                   -0.199189           0.023638            0                   0                   
6                   -0.035234           0                   -0.199212           0.024022            0                   0                   
6.2                 -0.03607            0                   -0.199236           0.024406            0                   0                   
6.4                 -0.036908           0                   -0.199434           0.024775            0                   0                   
6.6                 -0.037747           0                   -0.199632           0.025144            0                   0                   
6.8                 -0.038586           0                   -0.199829           0.025512            0                   0                   
7                   -0.039426           0                   -0.200064           0.025878            0                   0                   
7.2                 -0.040268           0                   -0.200336           0.026239            0                   0                   
7.4                 -0.04111            0                   -0.200607           0.0266              0                   0                   
7.6                 -0.041952           0                   -0.200879           0.026961            0                   0                   
7.8                 -0.042798           0                   -0.201168           0.027322            0                   0                   
8                   -0.043643           0                   -0.201457           0.027682            0                   0                   
8.2                 -0.044489           0                   -0.201746           0.028042            0                   0                   
8.4                 -0.045336           0                   -0.202035           0.028403            0                   0                   
8.6                 -0.046185           0                   -0.202324           0.028765            0                   0                   
8.8                 -0.047034           0                   -0.202614           0.029127            0                   0                   
9                   -0.047884           0                   -0.202903           0.029488            0                   0                   
9.2                 -0.048736           0                   -0.203172           0.029854            0                   0                   
9.4                 -0.049587           0                   -0.20344            0.030219            0                   0                   
9.6                 -0.050439           0                   -0.203709           0.030585            0                   0                   
9.8                 -0.051292           0                   -0.203969           0.030952            0                   0                   
10                  -0.052145           0                   -0.20422            0.031321            0                   0                   
10.2                -0.052998           0                   -0.204471           0.03169             0                   0                   
10.4                -0.053851           0                   -0.204722           0.032058            0                   0                   
10.6                -0.054706           0                   -0.204953           0.032433            0                   0                   
10.8                -0.055562           0                   -0.205185           0.032808            0                   0                   
11                  -0.056418           0                   -0.205416           0.033182            0                   0                   
11.2                -0.057274           0                   -0.205622           0.033563            0                   0                   
11.4                -0.058132           0                   -0.205802           0.033951            0                   0                   
11.6                -0.05899            0                   -0.205982           0.034338            0                   0                   
11.8                -0.059847           0                   -0.206163           0.034725            0                   0                   
12                  -0.060704           0                   -0.206204           0.035143            0                   0                   
12.2                -0.061561           0                   -0.206246           0.035562            0                   0                   
12.4                -0.062418           0                   -0.206288           0.03598             0                   0                   
12.6                -0.063272           0                   -0.20624            0.036417            0                   0                   
12.8                -0.064121           0                   -0.206104           0.036874            0                   0                   
13                  -0.064971           0                   -0.205968           0.037331            0                   0                   
13.2                -0.065821           0                   -0.205832           0.037788            0                   0                   
13.4                -0.066664           0                   -0.205244           0.038359            0                   0                   
13.6                -0.067508           0                   -0.204655           0.03893             0                   0                   
13.8                -0.068351           0                   -0.204067           0.039501            0                   0                   
14                  -0.069187           0                   -0.20306            0.040183            0                   0                   
14.2                -0.070016           0                   -0.201633           0.040976            0                   0                   
14.4                -0.070845           0                   -0.200206           0.041769            0                   0                   
14.6                -0.071673           0                   -0.198779           0.042562            0                   0                   
14.8                -0.072476           0                   -0.195808           0.043789            0                   0                   
15                  -0.073278           0                   -0.192838           0.045016            0                   0                   
15.2                -0.074081           0                   -0.189868           0.046244            0                   0                   
15.4                -0.074842           0                   -0.185673           0.047813            0                   0                   
15.6                -0.07556            0                   -0.180253           0.049724            0                   0                   
15.8                -0.076279           0                   -0.174834           0.051635            0                   0                   
16                  -0.076998           0                   -0.169414           0.053546            0                   0                   

		PITCHING MOMENT DERIVATIVES
ALPHA (deg)         CMA                 CMAP                CMU                 CMQ                 CMB                 CMP                 CMR                 
-5                  -0.312005           0                   0                   -1.37761            0                   0                   0                   
-4.8                -0.362799           0                   0                   -1.37761            0                   0                   0                   
-4.6                -0.404388           0                   0                   -1.37761            0                   0                   0                   
-4.4                -0.427569           0                   0                   -1.37761            0                   0                   0                   
-4.2                -0.419512           0                   0                   -1.37761            0                   0                   0                   
-4                  -0.3823             0                   0                   -1.37761            0                   0                   0                   
-3.8                -0.332926           0                   0                   -1.37761            0                   0                   0                   
-3.6                -0.284756           0                   0                   -1.37761            0                   0                   0                   
-3.4                -0.270459           0                   0                   -1.37761            0                   0                   0                   
-3.2                -0.267283           0                   0                   -1.37761            0                   0                   0                   
-3                  -0.271777           0                   0                   -1.37761            0                   0                   0                   
-2.8                -0.269378           0                   0                   -1.37761            0                   0                   0                   
-2.6                -0.256676           0                   0                   -1.37761            0                   0                   0                   
-2.4                -0.24141            0                   0                   -1.37761            0                   0                   0                   
-2.2                -0.22021            0                   0                   -1.37761            0                   0                   0                   
-2                  -0.213139           0                   0                   -1.37761            0                   0                   0                   
-1.8                -0.209344           0                   0                   -1.37761            0                   0                   0                   
-1.6                -0.221404           0                   0                   -1.37761            0                   0                   0                   
-1.4                -0.269222           0                   0                   -1.37761            0                   0                   0                   
-1.2                -0.35194            0                   0                   -1.37761            0                   0                   0                   
-1                  -0.447939           0                   0                   -1.37761            0                   0                   0                   
-0.8                -0.542923           0                   0                   -1.37761            0                   0                   0                   
-0.6                -0.575808           0                   0                   -1.37761            0                   0                   0                   
-0.4                -0.597755           0                   0                   -1.37761            0                   0                   0                   
-0.2                -0.613141           0                   0                   -1.37761            0                   0                   0                   
0                   -0.600819           0                   0                   -1.37761            0                   0                   0                   
0.2                 -0.562978           0                   0                   -1.37761            0                   0                   0                   
0.4                 -0.525136           0                   0                   -1.37761            0                   0                   0                   
0.6                 -0.487295           0                   0                   -1.37761            0                   0                   0                   
0.8                 -0.45109            0                   0                   -1.37761            0                   0                   0                   
1                   -0.414885           0                   0                   -1.37761            0                   0                   0                   
1.2                 -0.37868            0                   0                   -1.37761            0                   0                   0                   
1.4                 -0.352942           0                   0                   -1.37761            0                   0                   0                   
1.6                 -0.337672           0                   0                   -1.37761            0                   0                   0                   
1.8                 -0.322402           0                   0                   -1.37761            0                   0                   0                   
2                   -0.307133           0                   0                   -1.37761            0                   0                   0                   
2.2                 -0.310583           0                   0                   -1.37761            0                   0                   0                   
2.4                 -0.314033           0                   0                   -1.37761            0                   0                   0                   
2.6                 -0.317484           0                   0                   -1.37761            0                   0                   0                   
2.8                 -0.320639           0                   0                   -1.37761            0                   0                   0                   
3                   -0.323499           0                   0                   -1.37761            0                   0                   0                   
3.2                 -0.326358           0                   0                   -1.37761            0                   0                   0                   
3.4                 -0.329218           0                   0                   -1.37761            0                   0                   0                   
3.6                 -0.328845           0                   0                   -1.37761            0                   0                   0                   
3.8                 -0.328472           0                   0                   -1.37761            0                   0                   0                   
4                   -0.328099           0                   0                   -1.37761            0                   0                   0                   
4.2                 -0.327909           0                   0                   -1.37761            0                   0                   0                   
4.4                 -0.327902           0                   0                   -1.37761            0                   0                   0                   
4.6                 -0.327894           0                   0                   -1.37761            0                   0                   0                   
4.8                 -0.327887           0                   0                   -1.37761            0                   0                   0                   
5                   -0.327626           0                   0                   -1.37761            0                   0                   0                   
5.2                 -0.327364           0                   0                   -1.37761            0                   0                   0                   
5.4                 -0.327103           0                   0                   -1.37761            0                   0                   0                   
5.6                 -0.326817           0                   0                   -1.37761            0                   0                   0                   
5.8                 -0.326506           0                   0                   -1.37761            0                   0                   0                   
6                   -0.326195           0                   0                   -1.37761            0                   0                   0                   
6.2                 -0.325883           0                   0                   -1.37761            0                   0                   0                   
6.4                 -0.325552           0                   0                   -1.37761            0                   0                   0                   
6.6                 -0.325221           0                   0                   -1.37761            0                   0                   0                   
6.8                 -0.324889           0                   0                   -1.37761            0                   0                   0                   
7                   -0.3247             0                   0                   -1.37761            0                   0                   0                   
7.2                 -0.324652           0                   0                   -1.37761            0                   0                   0                   
7.4                 -0.324604           0                   0                   -1.37761            0                   0                   0                   
7.6                 -0.324555           0                   0                   -1.37761            0                   0                   0                   
7.8                 -0.32491            0                   0                   -1.37761            0                   0                   0                   
8                   -0.325264           0                   0                   -1.37761            0                   0                   0                   
8.2                 -0.325618           0                   0                   -1.37761            0                   0                   0                   
8.4                 -0.325856           0                   0                   -1.37761            0                   0                   0                   
8.6                 -0.325977           0                   0                   -1.37761            0                   0                   0                   
8.8                 -0.326098           0                   0                   -1.37761            0                   0                   0                   
9                   -0.32622            0                   0                   -1.37761            0                   0                   0                   
9.2                 -0.326107           0                   0                   -1.37761            0                   0                   0                   
9.4                 -0.325994           0                   0                   -1.37761            0                   0                   0                   
9.6                 -0.325882           0                   0                   -1.37761            0                   0                   0                   
9.8                 -0.325824           0                   0                   -1.37761            0                   0                   0                   
10                  -0.325821           0                   0                   -1.37761            0                   0                   0                   
10.2                -0.325819           0                   0                   -1.37761            0                   0                   0                   
10.4                -0.325816           0                   0                   -1.37761            0                   0                   0                   
10.6                -0.326148           0                   0                   -1.37761            0                   0                   0                   
10.8                -0.326481           0                   0                   -1.37761            0                   0                   0                   
11                  -0.326814           0                   0                   -1.37761            0                   0                   0                   
11.2                -0.327122           0                   0                   -1.37761            0                   0                   0                   
11.4                -0.327406           0                   0                   -1.37761            0                   0                   0                   
11.6                -0.327691           0                   0                   -1.37761            0                   0                   0                   
11.8                -0.327975           0                   0                   -1.37761            0                   0                   0                   
12                  -0.327394           0                   0                   -1.37761            0                   0                   0                   
12.2                -0.326812           0                   0                   -1.37761            0                   0                   0                   
12.4                -0.326231           0                   0                   -1.37761            0                   0                   0                   
12.6                -0.325512           0                   0                   -1.37761            0                   0                   0                   
12.8                -0.324655           0                   0                   -1.37761            0                   0                   0                   
13                  -0.323798           0                   0                   -1.37761            0                   0                   0                   
13.2                -0.322941           0                   0                   -1.37761            0                   0                   0                   
13.4                -0.320647           0                   0                   -1.37761            0                   0                   0                   
13.6                -0.318352           0                   0                   -1.37761            0                   0                   0                   
13.8                -0.316057           0                   0                   -1.37761            0                   0                   0                   
14                  -0.312113           0                   0                   -1.37761            0                   0                   0                   
14.2                -0.30652            0                   0                   -1.37761            0                   0                   0                   
14.4                -0.300927           0                   0                   -1.37761            0                   0                   0                   
14.6                -0.295333           0                   0                   -1.37761            0                   0                   0                   
14.8                -0.28198            0                   0                   -1.37761            0                   0                   0                   
15                  -0.268626           0                   0                   -1.37761            0                   0                   0                   
15.2                -0.255272           0                   0                   -1.37761            0                   0                   0                   
15.4                -0.248595           0                   0                   -1.37761            0                   0                   0                   
15.6                -0.248595           0                   0                   -1.37761            0                   0                   0                   
15.8                -0.248595           0                   0                   -1.37761            0                   0                   0                   
16                  -0.248595           0                   0                   -1.37761            0                   0                   0                   

		YAWING MOMENT DERIVATIVES
ALPHA (deg)         CNB                 CNBP                CNP                 CNR                 CNA                 CNQ                 
-5                  0.0293              0                   0.010264            -0.017463           0                   0                   
-4.8                0.02931             0                   0.010343            -0.01747            0                   0                   
-4.6                0.02932             0                   0.010422            -0.017478           0                   0                   
-4.4                0.02933             0                   0.010501            -0.017485           0                   0                   
-4.2                0.029337            0                   0.010581            -0.01749            0                   0                   
-4                  0.029342            0                   0.010661            -0.017491           0                   0                   
-3.8                0.029347            0                   0.010741            -0.017491           0                   0                   
-3.6                0.029352            0                   0.010821            -0.017492           0                   0                   
-3.4                0.029364            0                   0.010846            -0.017497           0                   0                   
-3.2                0.029377            0                   0.010871            -0.017502           0                   0                   
-3                  0.02939             0                   0.010896            -0.017507           0                   0                   
-2.8                0.029402            0                   0.010906            -0.017511           0                   0                   
-2.6                0.029415            0                   0.0109              -0.017514           0                   0                   
-2.4                0.029428            0                   0.010895            -0.017517           0                   0                   
-2.2                0.029441            0                   0.01089             -0.01752            0                   0                   
-2                  0.029455            0                   0.010907            -0.017527           0                   0                   
-1.8                0.029469            0                   0.010925            -0.017534           0                   0                   
-1.6                0.029484            0                   0.010943            -0.017541           0                   0                   
-1.4                0.029498            0                   0.010967            -0.017547           0                   0                   
-1.2                0.029511            0                   0.010997            -0.017553           0                   0                   
-1                  0.029524            0                   0.011027            -0.01756            0                   0                   
-0.8                0.029538            0                   0.011057            -0.017566           0                   0                   
-0.6                0.029556            0                   0.011071            -0.017578           0                   0                   
-0.4                0.029575            0                   0.011086            -0.017591           0                   0                   
-0.2                0.029594            0                   0.0111              -0.017604           0                   0                   
0                   0.029618            0                   0.011099            -0.017622           0                   0                   
0.2                 0.029646            0                   0.011082            -0.017645           0                   0                   
0.4                 0.029673            0                   0.011065            -0.017669           0                   0                   
0.6                 0.029701            0                   0.011048            -0.017693           0                   0                   
0.8                 0.029691            0                   0.01107             -0.01767            0                   0                   
1                   0.029681            0                   0.011091            -0.017648           0                   0                   
1.2                 0.029671            0                   0.011113            -0.017626           0                   0                   
1.4                 0.029672            0                   0.011142            -0.017617           0                   0                   
1.6                 0.029685            0                   0.011178            -0.01762            0                   0                   
1.8                 0.029699            0                   0.011215            -0.017624           0                   0                   
2                   0.029712            0                   0.011251            -0.017628           0                   0                   
2.2                 0.02973             0                   0.011236            -0.017645           0                   0                   
2.4                 0.029748            0                   0.011222            -0.017663           0                   0                   
2.6                 0.029767            0                   0.011207            -0.017681           0                   0                   
2.8                 0.029782            0                   0.011189            -0.017694           0                   0                   
3                   0.029794            0                   0.011169            -0.017702           0                   0                   
3.2                 0.029807            0                   0.011149            -0.01771            0                   0                   
3.4                 0.02982             0                   0.011128            -0.017718           0                   0                   
3.6                 0.029832            0                   0.011128            -0.017725           0                   0                   
3.8                 0.029844            0                   0.011127            -0.017733           0                   0                   
4                   0.029856            0                   0.011127            -0.01774            0                   0                   
4.2                 0.029868            0                   0.011128            -0.017747           0                   0                   
4.4                 0.029879            0                   0.011132            -0.017753           0                   0                   
4.6                 0.02989             0                   0.011135            -0.01776            0                   0                   
4.8                 0.029902            0                   0.011138            -0.017766           0                   0                   
5                   0.029913            0                   0.011147            -0.017772           0                   0                   
5.2                 0.029923            0                   0.011157            -0.017777           0                   0                   
5.4                 0.029934            0                   0.011166            -0.017783           0                   0                   
5.6                 0.029944            0                   0.011173            -0.017788           0                   0                   
5.8                 0.029954            0                   0.011177            -0.017793           0                   0                   
6                   0.029964            0                   0.01118             -0.017799           0                   0                   
6.2                 0.029974            0                   0.011184            -0.017804           0                   0                   
6.4                 0.029983            0                   0.011179            -0.017809           0                   0                   
